GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
commands,pl.edu.agh.kis.pz1,Command,1,3,0,0,1,1,1,1,1,1
commands,pl.edu.agh.kis.pz1,ViewCommand,29,0,2,0,8,0,3,0,2,0
commands,pl.edu.agh.kis.pz1,CheckoutCommand,4,95,2,2,1,14,2,2,0,2
commands,pl.edu.agh.kis.pz1,SaveCommand,4,147,0,2,2,23,0,3,0,2
commands,pl.edu.agh.kis.pz1,CheckinCommand,26,103,6,6,5,23,6,2,0,2
commands,pl.edu.agh.kis.pz1,ListCommand,0,7,0,0,0,3,0,2,0,2
commands,pl.edu.agh.kis.pz1,PricesCommand,0,36,0,2,0,5,0,3,0,2
